id;gdp;gdp_per_capita;gdp_source;gdp_year
609;2.08;0.000013;country_total_population_share;2024
610;4.34;0.000013;country_total_population_share;2024
611;49.33;0.000079;country_total_population_share;2024
612;41.63;0.000079;country_total_population_share;2024
613;96.70;0.000079;country_total_population_share;2024
614;170.96;0.000079;country_total_population_share;2024
615;94.80;0.000079;country_total_population_share;2024
616;32.73;0.000079;country_total_population_share;2024
617;191.03;0.000079;country_total_population_share;2024
618;302.78;0.000079;country_total_population_share;2024
619;238.15;0.000079;country_total_population_share;2024
620;55.01;0.000079;country_total_population_share;2024
621;33.85;0.000079;country_total_population_share;2024
622;106.12;0.000079;country_total_population_share;2024
623;19.31;0.000099;country_total_population_share;2024
624;28.10;0.000099;country_total_population_share;2024
625;15.75;0.000099;country_total_population_share;2024
626;36.76;0.000099;country_total_population_share;2024
